و	، را که از در به آن او شما برای بر پس خود گردآوری بدرقه
مهربان	آمرزنده سنجیده‌کار توبه‌پذیر حکیم رحمتگر دوستدار شکست‌ناپذیر دانای می‌پذیرد بخشایشگر بیناست بردبار گشایشگر صفات استادت
بهتر	بدارید عذری مزدی آشکارش نیکوتر پایدارتر دهم غیب نیکوکاران بسی بدتر شتابزده امید خشنود رحمت
چگونه	بنگرید تکذیب‌کنندگان ببین بوده_است بنگر برکت قدرت کودکان نگردیده‌اند هشدارداده‌شدگان عصیان کی نیرنگشان اینان فرجام
اهل	کتابند آتشند همدمان دوزخند بهشتند تقوا انگاشتند آورده‌اید نگویید پیوست مالک بیاورد هان همدم درآیند
رحمت	جوار بخوانند بجویید مهربان بخواهد رحمتش بهتر نیکوکاران عبرت رستگار شنوای بودی معبود کرم هوس
شود	دمیده صور خواهید_شد استثنا جدایی می‌گردانم خواهد_شد گردانید می‌کند می‌شود گردانی پاره دلی موجود نبودند
آنجا	بیهوده‌ای می‌زنند نمی‌زنند انفاق جاودانه ستدی می‌مانند درمی‌آیند درک جاودان خواهند_ماند همیشه هموار صلح جوی‌ها
فرعون	هامان سران شعیب عاد قارون صالح ماده‌شتر یوسف هشداردهندگان قوم خاندان گسیل آورده_بود طرفی رساندیم
غیر	مانع برده معبود می‌پرستند دیگری دوستانی بهانه خدایانی خدایی دلیلی معبودانی کتابی می‌پرستم بپرسی می‌ترسند
زودی	برجای‌ماندگان خواهند_دانست خواهید_دانست یابد باغ‌های خرد فروتر تمسک خشمی گفته‌اند جایگاهشان ورزی نمی‌رسانند رساند می‌رهاند
ابراهیم	اسحاق اسماعیل حق‌گرا شعیب یعقوب عمران مهمانان نوح برادرشان الیاس ایوب پسری ماجرای اسباط جوان
پروا	رکوع شکر بترسید آشکارش فرمانم بدارید دارید بپرستید ندانسته‌اند سپاس پرهیزگاری می‌پرستید ندارید منکرید داشته‌اند
شده_است	گردیده شده نسل‌ها کتابند سویشان نشده_است کرده‌ایم شد می‌پرسند غرفه‌هایی القا آمد اینان نشانه‌هایی نظر
می‌دهد	داده_می‌شود بخشش نخواهند_گرفت دهند نداد تسبیح می‌رساند معبودی می‌دهند فرزندانتان فرزند درمی‌دهد داده_می‌شوند می‌دهید می‌آفریند
وقتی	آمده‌ای می‌فرماید ترس بگذارید افکند بینداز شدیم مردیم جوان استخوان خدایا مادر دری رفت بیشتر
شیطان	حاصل نفس دعای می‌خواهم دشمن گفته_شود وسوسه کنی پیمان چنان ببخشود درگاه گلی کردید مگوی
ده	دهید مهلت دهد می‌دهم می‌آزماییم دهنده‌ای بگویند داده_شود شبانه دهند نیافتی آورده_است می‌دهیم دهی خواهد_بود
می‌کردند	می‌گرفتند برتری می‌نمایند نمی‌کنند شنبه کردند پیشی خواهد_کرد روا چشیدند لی‌ گواهان واقع خواهد_رسید می‌کردید
مورد	گوساله نخواهند_گرفت پرسش رسانیدیم گرفتند واقع نمی‌گیرند رخصت جوار لام داده_می‌شود خور هستید کج نیکی
زیر	زبر درختان جوی‌ها جویبارها سایه‌ها نهرها باغ‌هایی پر کشتزارها روان همیشگی انگور خرما عدن باغی
پشت	بالای سرش چنانکه پیراهن سرشان سجده می‌ستانند قربانی خلق یکی کوه سدی بنده‌اش موسی خوانده_می‌شود
همواره	توبه‌پذیر مهربان سنجیده‌کار شکست‌ناپذیر دوستدار آمرزنده می‌پذیرد سزاوارتر گشایشگر داناست هموست می‌بخشاید حدود حکیم ست
باید	قربانی استثنا نظیر خوراک می‌شکنند مرگشان کالای نباید آمرزنده عذری سوم می‌میراند گیرند برسد طلاق
قیامت	روز رسیدن شش کی رستاخیز جزای فرستادگانش میانشان ست بیش نمی‌دهند حدس سنجیده‌کار نمی‌زنند باری
فرشتگان	جانشان می‌ستانند صف شبانگاه آیید سرپرست منافقان جملگی برمی‌انگیزد هفت هزار ابری سخت‌ترین گرد معجزه‌ای
اما	ثمودیان کارنامه‌اش عادیان افزود ثمود می‌شناسند ناحق طغیان کوبنده جرم اصحاب سرکشی نسل‌ها هجرت نمودند
کرده_است	کرده نکرده می‌نمایند کردم می‌کنی ساخته_است کردیم کنیم نمودیم درآیید نمی‌کنند گردانی ثابت بوده سپاهیان
دهد	دهم ده بندگانش دهی مده می‌دهیم می‌دهد صدقه مبر می‌کند مؤمنانی حکمی پاداشی بخواهم می‌دادیم
خدایی	می‌پرستید پدیدآورنده معبودی فرمانروایی بپرستید خدایانی می‌پرستند بربافتد می‌پرستم منزه عربی معبودانی یگانه ندانسته‌اند فرزندی
شده‌اند	کافر شده‌ام زیردست نیافریدیم می‌دهیم آرزو یهودی مرتکب نخواهند_کرد ببینند شکنجه ماندگار ورزیدند امتی فرجامی
می‌شود	بی‌درنگ موجود دمیده حقیقتی داناتر سوره‌ای سپس شود ناپدید می‌بریم می‌خوانی صفات می‌میراند کرده‌ایم می‌شد
آورده‌اند	ایمان نمی‌آورند بازپسین نخواهیم_آورد نیاورده آورده‌ایم کتاب‌ها یکدیگرند می‌شناسد پیشه گردآوری اسلام ورزیده نیکوکاری زیور
زنده	می‌آوری می‌میراند شدیم برانگیخته می‌شویم سرزمینتان گردانیده فساد صورتگری تنگ خاکی خواهی_، مرگش آفرینش می‌گذاشتند
دوست	مشغول می‌پرستید پنهان مگیرید نگاه آشکارش بازدارنده‌ای نمی‌دارد نعمت‌های مستمندان آشتی فرمانم دوستانی شرکت ناسپاسی
می‌شوند	شوند مرده می‌یابند خواهند_شد می‌شوید جاودان برانگیخته منحرف نمی‌کند می‌ماند جهاد شدند چهار خواهد_شد نمی‌کنند
وسیله	دانه‌های استفاده رنگ‌های گوناگون پدید روشنگر حقایق مرگش جویبارها زیتون تذکری فرود قطعه آوردیم کامل
انسان	ناسپاس می‌کنید پسرک بشری می‌اندیشند نشدند پسر کس شیطان دیوانه‌ای می‌دانیم نیکوترین می‌پرستید چیز مریم
بار	زنی جفت پرسند نر شش یهودی عذابی پدید گواهی سه مرگش سوم بیراه پرداخت رسیدن
مانند	بشنوند بدهید مکه جزای جفت ندانسته‌ای مرد سوره ناگهان یکی نورشان می‌بینی حیوانی صدای خلق
پروردگارش	پروردگارت بازگشت‌کننده انسان وسوسه‌ای پروردگار قرآنی نشده_است برتر عاد دوان شایستگان پروردگارم نمی‌شود یوسف می‌ترسد
یکدیگر	میانشان خلوت نزاع ازدواج برخورد همدیگر یابند انفاق همخوابگی تخت‌هایی فرا دشمنان طور یهود مشاهده
